R,Q
0.8000,-1.7696683
0.8100,-1.7261657
0.8200,-1.6841616
0.8300,-1.6434419
0.8400,-1.6038240
0.8500,-1.5651510
0.8600,-1.5272877
0.8700,-1.4901176
0.8800,-1.4535386
0.8900,-1.4174624
0.9000,-1.3818117
0.9100,-1.3465182
0.9200,-1.3115228
0.9300,-1.2767735
0.9400,-1.2422247
0.9500,-1.2078363
0.9600,-1.1735900
0.9700,-1.1394280
0.9800,-1.1053359
0.9900,-1.0712912
1.0000,-1.0372751
1.0100,-1.0032714
1.0200,-0.9692671
1.0300,-0.9352517
1.0400,-0.9012170
1.0500,-0.8671570
1.0600,-0.8330677
1.0700,-0.7989470
1.0800,-0.7647945
1.0900,-0.7306115
1.1000,-0.6964006
1.1100,-0.6621659
1.1200,-0.6279125
1.1300,-0.5936468
1.1400,-0.5593764
1.1500,-0.5251096
1.1600,-0.4908557
1.1700,-0.4566247
1.1800,-0.4224272
1.1900,-0.3882746
1.2000,-0.3541788
1.2068,-0.3310322
1.2100,-0.3201520
1.2147,-0.3041868
1.2200,-0.2862070
1.2258,-0.2665614
1.2300,-0.2523567
1.2400,-0.2186145
1.2500,-0.1849937
1.2600,-0.1515080
1.2700,-0.1181711
1.2800,-0.0849967
1.2900,-0.0519985
1.3000,-0.0191903
1.3100, 0.0134145
1.3200, 0.0458029
1.4700, 0.4971244
1.4800, 0.5244028
1.4900, 0.5512736
1.5000, 0.5777278
1.5100, 0.6037571
1.5200, 0.6293532
1.5300, 0.6545081
1.5400, 0.6792144
1.5500, 0.7034653
1.5600, 0.7272515
1.5700, 0.7505665
1.5800, 0.7734034
1.5900, 0.7957550
1.6000, 0.8176147
1.7500, 1.0821573
1.7600, 1.0953076
1.7700, 1.1078696
1.7800, 1.1198396
1.7900, 1.1311772
1.8000, 1.1419660
1.8100, 1.1521520
1.8200, 1.1617408
1.8300, 1.1707319
1.8400, 1.1791279
1.8500, 1.1869359
1.8600, 1.1941544
1.8700, 1.2007931
1.8800, 1.2068605
1.8900, 1.2123671
1.9000, 1.2173255
1.9100, 1.2217501
1.9200, 1.2256578
1.9300, 1.2290675
1.9400, 1.2319998
1.9500, 1.2344778
1.9600, 1.2365262
1.9700, 1.2381713
1.9800, 1.2394405
1.9900, 1.2403628
2.0000, 1.2409757
2.0100, 1.2412925
2.0200, 1.2413512
2.0300, 1.2411811
2.0400, 1.2408111
2.1100, 1.2347738
2.1200, 1.2336753
2.1300, 1.2325681
2.1400, 1.2314637
2.1500, 1.2303722
2.1600, 1.2293020
2.1700, 1.2282599
2.1800, 1.2272509
2.1900, 1.2262798
2.2000, 1.2253498
2.2100, 1.2244627
2.2200, 1.2236199
2.2300, 1.2228219
2.2400, 1.2220684
2.2500, 1.2213588
2.2600, 1.2206921
2.2700, 1.2200667
2.2800, 1.2194801
2.2900, 1.2189320
2.3000, 1.2184194
2.3100, 1.2179398
2.3200, 1.2174911
2.3300, 1.2170711
2.3400, 1.2166778
2.3500, 1.2163090
2.3600, 1.2159621
2.3700, 1.2156352
2.3800, 1.2153262
2.3900, 1.2150330
2.4000, 1.2147549
2.4100, 1.2144878
2.4200, 1.2142308
2.4300, 1.2139827
2.4400, 1.2137418
2.4500, 1.2135066
2.4600, 1.2132760
2.4700, 1.2130487
2.4800, 1.2128234
2.4900, 1.2125992
2.5000, 1.2123752
2.5100, 1.2121505
2.5200, 1.2119241
2.5300, 1.2116956
2.5400, 1.2114704
2.5500, 1.2112353
2.5600, 1.2109964
2.5700, 1.2107530
2.5800, 1.2105048
2.5900, 1.2102466
2.6000, 1.2099878
2.6100, 1.2097237
2.6200, 1.2094536
2.6300, 1.2091771
2.6400, 1.2088946
2.6500, 1.2086058
2.6600, 1.2083105
2.6700, 1.2080089
2.6800, 1.2077007
2.6900, 1.2073863
2.7000, 1.2070654
2.7100, 1.2067384
2.7200, 1.2064051
2.7300, 1.2060657
2.7400, 1.2057203
2.7500, 1.2053690
2.7600, 1.2050120
2.7700, 1.2046494
2.7800, 1.2042812
2.7900, 1.2039079
2.8000, 1.2035294
2.8100, 1.2031458
2.8200, 1.2027574
2.8300, 1.2023644
2.8400, 1.2019669
2.8500, 1.2015657
2.8600, 1.2011616
2.8700, 1.2007531
2.8800, 1.2003410
2.8900, 1.1999254
2.9000, 1.1995066
2.9100, 1.1990848
2.9200, 1.1986600
2.9300, 1.1982328
2.9400, 1.1978031
2.9500, 1.1973712
2.9600, 1.1969373
2.9700, 1.1965016
2.9800, 1.1960643
2.9900, 1.1956253
3.0000, 1.1951843
3.0100, 1.1947427
3.0200, 1.1943000
3.0300, 1.1938568
3.0400, 1.1934127
3.0500, 1.1929683
3.0600, 1.1925233
3.0700, 1.1920781
3.0800, 1.1916329
3.0900, 1.1911876
3.1000, 1.1907426
3.1100, 1.1902979
3.1200, 1.1898536
3.1300, 1.1894099
3.1400, 1.1889668
3.1500, 1.1885245
3.1600, 1.1880831
3.1700, 1.1876427
3.1800, 1.1872034
3.2500, 1.1841649
3.2600, 1.1837391
3.2700, 1.1833140
3.2800, 1.1828906
3.2900, 1.1824690
3.3000, 1.1820495
3.3100, 1.1816321
3.3200, 1.1812168
3.3300, 1.1808037
3.3400, 1.1803928
3.3500, 1.1799842
3.3600, 1.1795780
3.3700, 1.1791742
3.3800, 1.1787727
3.3900, 1.1783737
3.4000, 1.1779773
3.4100, 1.1775833
3.4200, 1.1771918
3.4300, 1.1768028
3.4400, 1.1764166
3.4500, 1.1760328
3.4600, 1.1756517
3.4700, 1.1752733
3.4800, 1.1748974
3.4900, 1.1745241
3.5000, 1.1741532
3.5100, 1.1737851
3.5200, 1.1734195
3.5300, 1.1730565
3.5400, 1.1726963
3.5500, 1.1723389
3.5600, 1.1719845
3.5700, 1.1716328
3.5800, 1.1712840
3.5900, 1.1709382
3.6000, 1.1705949
3.6100, 1.1702541
3.6200, 1.1699159
3.6300, 1.1695803
3.6400, 1.1692475
3.6500, 1.1689177
3.6600, 1.1685906
3.6700, 1.1682663
3.6800, 1.1679445
3.6900, 1.1676256
3.7000, 1.1673092
3.7100, 1.1669956
3.7200, 1.1666846
3.7300, 1.1663763
3.7400, 1.1660707
3.7500, 1.1657676
3.7600, 1.1654671
3.7700, 1.1651692
3.7800, 1.1648740
3.7900, 1.1645811
3.8000, 1.1642907
3.8100, 1.1640029
3.8200, 1.1637175
3.8300, 1.1634346
3.8400, 1.1631543
3.8500, 1.1628763
3.8600, 1.1626007
3.8700, 1.1623276
3.8800, 1.1620568
3.8900, 1.1617885
3.9000, 1.1615226
3.9100, 1.1612590
3.9200, 1.1609978
3.9300, 1.1607390
3.9400, 1.1604824
3.9500, 1.1602283
3.9600, 1.1599764
3.9700, 1.1597270
3.9800, 1.1594797
3.9900, 1.1592347
4.0000, 1.1589920
4.0100, 1.1587515
4.0200, 1.1585132
4.0300, 1.1582770
4.0400, 1.1580431
4.0500, 1.1578111
4.0600, 1.1575811
4.0700, 1.1573533
4.0800, 1.1571273
4.0900, 1.1569033
4.1000, 1.1566813
4.1100, 1.1564611
4.1200, 1.1562428
4.1300, 1.1560264
4.1400, 1.1558117
4.1500, 1.1555990
4.1600, 1.1553881
4.1700, 1.1551790
4.1800, 1.1549718
4.1900, 1.1547663
4.2000, 1.1545625
4.2100, 1.1543605
4.2200, 1.1541603
4.2300, 1.1539617
4.2400, 1.1537649
4.2500, 1.1535691
4.2600, 1.1533757
4.2700, 1.1531840
4.2800, 1.1529939
4.2900, 1.1528054
4.3000, 1.1526187
4.3100, 1.1524336
4.3200, 1.1522500
4.3300, 1.1520680
4.3400, 1.1518876
4.3500, 1.1517087
4.3600, 1.1515315
